사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-02,경인선,1810,제물포,737,18,6920,1947,14253,4825,32075,8804,27807,20250,16933,11094,14239,8551,14913,8245,15322,10175,14659,11451,13171,10761,13400,13043,15843,15593,18230,18966,20040,26500,8261,26362,6293,15517,5257,13766,3320,13603,1428,9094,82,2921,1,21,0,0,0,0
2024-02,경인선,1811,동인천,1305,24,6686,2477,16112,9080,36412,18503,29341,24801,19195,15255,18797,15874,20357,18299,22191,19349,22273,21093,21780,19128,24306,20913,26104,22269,33010,25935,33763,31246,15590,31300,11968,19188,9223,15790,6345,14385,2582,9192,17,3380,0,25,0,0,0,0
2024-02,경인선,1812,인천,262,1,1123,815,2833,2252,4887,4799,4055,7383,2859,4140,3368,5228,3844,7725,5334,8732,7389,8059,9169,7015,10054,5618,11488,4441,12676,3971,11575,3496,5436,2629,4154,2002,2588,1786,1380,1523,400,1086,9,911,1,11,0,0,0,0
2024-02,경인선,1813,구일,199,5,3662,1475,8757,4597,22357,5409,19369,8639,11666,5061,9046,4517,8813,4496,9040,5318,8145,6812,7725,6879,8471,8607,9516,9924,9690,13656,9259,21738,4431,16976,2983,10112,2170,9831,2114,7740,839,5330,49,550,0,0,0,0,0,0
2024-02,경인선,1814,소사,937,10,11508,2289,11628,4382,23595,5641,21851,8158,15787,7475,13114,7576,12168,8093,12941,9055,11631,9668,10414,10304,10244,11417,10930,14476,10783,16883,9573,22100,6097,18435,4101,12456,3354,10965,2330,9528,1042,6465,104,1872,0,0,0,0,0,0
2024-02,경인선,1815,부개,1863,5,9193,1165,14903,3044,34909,4370,28465,7746,17265,6290,13926,5962,13620,7610,13393,9124,12406,9379,10447,10201,9973,12625,10739,16079,10210,19817,10161,27260,5851,23566,4159,15193,3518,13608,2482,11112,1247,8264,186,1953,0,10,0,0,0,0
2024-02,경인선,1816,간석,243,14,5134,1090,9732,2460,18642,3132,16268,7777,10521,5121,8941,4912,9041,5447,9221,6109,8925,7196,7902,7349,7894,8541,8120,10240,8317,12158,9196,16184,4608,16060,3641,9766,3298,7773,2673,7530,1259,4945,137,1831,1,9,0,0,0,0
2024-02,경인선,1817,도원,419,5,1887,698,3175,1523,6031,3038,5956,7885,4434,3188,3885,3819,4611,3301,5254,3439,4540,4143,4220,4070,4953,4367,5102,4863,5186,5651,6530,5930,2259,5422,1969,3721,1557,2954,707,2715,314,2108,17,1116,0,8,0,0,0,0
2024-02,경인선,1821,온수(성공회대입구),128,1,4526,1171,7165,2849,18872,4917,17610,8898,12199,6217,9789,5589,9981,5430,11604,6644,10149,6479,8911,8014,8630,8846,9613,10499,8814,12591,9003,19136,4462,15710,3470,9579,3775,8824,2476,7726,1439,4932,111,881,0,0,0,0,0,0
2024-02,경인선,1822,중동,832,18,9843,914,16724,3166,36810,4573,28928,9750,17833,7688,14175,7076,14087,8639,14677,9555,13251,10465,11716,11059,11290,13303,10833,15771,11790,21810,10763,28653,6569,24854,4866,15637,4083,13685,2737,11891,1351,8034,121,1738,0,16,0,0,0,0
2024-02,경인선,1823,도화,217,3,4037,675,5890,1670,13592,3020,11379,6234,7711,3788,6689,3480,7184,4153,6985,4937,6693,5240,5985,5479,5653,6198,6177,7558,6072,8714,6496,9912,3214,9900,2468,5970,1815,4941,1439,4635,646,3795,56,1639,0,9,0,0,0,0
2024-02,경원선,1008,이촌(국립중앙박물관),56,0,1009,554,3045,1909,7429,3677,8568,7562,7274,4520,6284,3688,6164,3688,6283,3620,6854,4463,6180,4239,6720,5124,7500,5522,8878,6317,8871,7569,4644,5862,3820,4180,3322,3754,1825,3670,577,2293,52,782,0,2,0,0,0,0
2024-02,경원선,1009,서빙고,39,0,872,554,1934,3517,2674,3608,3161,8630,2906,3419,2927,2914,2596,2437,3164,2122,3502,3133,3304,2653,4169,3517,5510,3317,6780,2837,6877,3666,2599,3387,1892,1802,1847,1727,963,1401,299,851,24,264,0,2,0,0,0,0
2024-02,경원선,1010,한남,131,0,1168,716,1687,5928,3156,9614,4033,13397,3785,9684,3874,5804,4622,4881,5011,5128,4938,5222,5774,4408,7853,4640,9500,5804,13754,5986,13141,6351,6327,4950,4975,2434,5024,2543,4477,1878,1705,1045,88,323,0,0,0,0,0,0
2024-02,경원선,1011,옥수,0,0,0,22,0,84,48,17,137,172,28,19,42,192,16,201,22,82,16,12,26,6,17,17,382,89,311,83,72,36,349,15,62,26,73,13,9,7,9,0,1,0,0,0,0,0,0,0
2024-02,경원선,1012,응봉,73,0,1098,169,2439,850,6167,1012,6331,1828,4544,1402,3586,1292,3096,1361,2674,1685,2705,2233,2664,2514,2460,2581,2954,3651,2631,4310,2397,5012,1617,4511,1170,2698,882,2351,622,2048,212,1326,24,446,0,0,0,0,0,0
2024-02,경원선,1013,왕십리(성동구청),662,11,4671,1166,7385,5496,23386,10670,37764,19688,25279,16324,15948,18086,16949,20943,20660,23292,23764,25248,24693,25280,27255,28572,30870,32692,34070,44262,33070,60961,26043,44006,26122,25915,29252,20985,27061,18287,12080,10316,1281,3940,3,1,0,23,0,0
2024-02,경원선,1014,청량리(서울시립대입구),1096,14,4747,1382,6778,11338,27330,14902,39976,19467,26488,29147,29780,29040,30566,38586,34303,34434,33627,32072,33623,38203,31908,38848,42333,37404,36313,34837,34539,49023,26786,37480,29126,21474,16556,21979,12221,13490,6102,7384,295,3414,0,0,0,0,0,0
2024-02,경원선,1016,외대앞,335,28,4410,3604,7087,9645,16860,4109,20933,11188,13610,9748,11167,8888,11669,8487,13829,10207,13904,10984,13627,11352,15292,12635,18606,14073,18337,16148,13119,21097,8678,17283,6990,12091,6407,11877,5333,12113,2900,9359,160,2315,8,15,0,0,0,0
2024-02,경원선,1017,신이문,1277,11,7237,1516,11851,4221,30458,3649,33854,7660,20262,4809,14676,5543,13145,6791,13438,8140,13062,9325,11022,10119,10115,13684,11576,15825,10143,19070,8836,28369,5473,21600,3662,15063,2672,12575,2023,11601,812,7472,77,1768,0,13,0,0,0,0
2024-02,경원선,1018,석계,1107,8,5131,1385,8808,3705,18765,4177,22206,6765,15055,5888,13173,6386,12665,7813,12888,8997,13127,10239,11285,11070,10645,15014,10721,18354,10792,23060,9560,31844,6963,22805,5745,15804,5333,13556,4235,11387,2442,7253,122,1660,1,22,0,0,0,0
2024-02,경원선,1019,광운대,1938,23,5687,1033,11803,2244,27934,4333,25198,9677,14388,7896,11216,7431,11234,7426,11789,9165,11515,9568,10547,9755,10677,11935,11040,14677,10810,16078,9485,23578,5865,18722,5712,12654,5248,10651,3699,9656,1732,7898,107,4150,1,46,0,0,0,0
2024-02,경원선,1020,월계,827,11,4485,1136,8709,2060,21737,4488,20355,7768,13347,6717,11329,5692,11092,5762,11221,6930,10167,7847,9127,7626,8477,9378,10020,12170,8659,13163,7596,19318,4795,16214,3444,9086,2639,8252,2028,8255,813,5099,70,1047,1,23,0,0,0,0
2024-02,경원선,1021,녹천,1031,58,3625,659,6681,1108,18060,3002,16461,4124,9311,2485,7454,2967,6437,3293,7350,4045,6235,4177,5045,4612,4981,5509,5316,6858,5440,8210,4106,12057,2839,11350,1682,6746,1577,5936,1202,5685,450,3378,31,915,0,10,0,0,0,0
2024-02,경원선,1022,창동,0,0,0,0,0,0,2,0,2,0,5,0,3,0,7,0,8,0,7,0,9,0,7,0,6,0,4,0,7,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2024-02,경원선,1901,방학,519,9,10471,1490,12789,5249,29451,7811,26070,17760,18683,10133,16084,10676,15150,10226,17251,11894,16114,12797,14145,14750,13953,17290,14858,19505,15539,22400,16565,25804,9344,25363,7055,13918,5946,11865,3876,11018,1814,6194,249,2274,1,13,0,0,0,0
2024-02,경원선,1902,도봉,202,25,5954,1120,8636,2693,17389,3258,15701,9301,11709,6681,10571,6768,9497,6389,9640,8026,9577,7925,9123,8519,8868,10200,8536,11126,9251,12924,9463,14746,4075,13451,2974,8136,2425,6842,1724,6483,736,3906,123,1340,0,7,0,0,0,0
2024-02,경원선,1903,도봉산,257,10,5558,787,8308,1737,18018,3197,18199,5161,12851,9016,11419,12399,11532,12476,14146,13545,16739,10716,19343,9302,19074,9247,17738,8997,14700,8533,11738,9313,6564,8095,4094,5076,2957,4426,2014,3967,849,2679,137,1164,2,5,0,0,0,0
2024-02,경원선,1904,망월사,383,8,6236,966,10559,2914,23611,4454,22190,11195,15219,8500,12783,7815,12502,9212,12534,10214,12974,9735,10925,10067,10667,11821,10052,14006,10944,16797,8838,22676,4899,20164,3951,12538,3440,10303,2499,9615,1090,5592,208,2737,0,12,0,0,0,0
2024-02,경원선,1905,회룡,1263,10,13035,2013,24677,5037,49800,7895,42554,11592,27508,10541,24331,10294,23536,12265,22321,14850,19855,16102,16898,18167,16360,21634,15683,26179,14423,30098,11918,42037,7187,37983,5930,22543,4665,18948,3480,16403,1546,9842,277,4442,0,18,0,0,0,0
2024-02,경원선,1906,의정부,2505,10,8852,2175,25549,6861,42150,10971,40494,32154,25528,32720,22576,26108,25814,29264,29193,33486,29815,35616,31994,33020,35303,32353,36387,35760,39883,38971,42091,53114,25518,46638,24130,28445,16853,23450,13698,19821,7336,14156,1063,7113,1,50,0,0,0,0
2024-02,경원선,1907,가능,304,3,6694,1212,10284,3308,20858,6268,18361,9540,11410,6585,10723,5595,10325,6636,10445,6755,9158,8193,8389,7420,8669,8992,8837,10608,10061,13079,8388,17313,5340,17104,4244,11070,3500,8338,2387,7756,970,4430,148,1891,0,0,0,0,0,0
2024-02,경원선,1908,녹양,300,1,4597,661,7015,1738,14403,3811,12166,6588,7871,3863,7304,3056,7481,4486,7638,4878,6729,5363,5861,5064,6337,6409,6195,6797,6766,9690,6839,11898,3289,11857,2440,8070,1991,5403,1268,5714,628,3664,92,1328,0,0,0,0,0,0
2024-02,경원선,1909,양주,1693,12,4564,1107,9219,4417,25384,8386,19789,8674,15488,6695,13830,5490,13570,6853,12707,8614,12067,8508,10225,9675,10080,10746,10859,11177,11229,16385,11314,19380,5932,20158,3598,13941,2644,10202,1675,9344,792,5863,83,2541,0,0,0,0,0,0
2024-02,경원선,1910,덕계,29,0,4960,643,12730,3361,20929,3803,17980,5873,10233,3428,8912,2851,7773,3389,6846,3979,7036,4528,5755,4864,6445,6822,6915,7972,6274,11250,6278,16862,3337,14176,2316,10154,1813,8397,1377,6236,590,4842,113,1862,0,0,0,0,0,0
2024-02,경원선,1911,덕정,1,0,3386,1212,7969,5464,16099,7680,16367,9926,10508,5401,9830,4858,9001,5038,9017,5551,9867,6901,7866,7347,8413,7726,8717,8514,9791,11071,10334,14406,4800,12246,3381,8873,2448,8030,2049,6020,1136,4140,258,1883,0,0,0,0,0,0
2024-02,경원선,1912,지행,86,9,4409,1002,9446,2189,16646,4565,17921,9570,13631,5499,11855,6049,10987,6571,10821,6940,9952,8482,9184,10088,9051,10694,9238,12709,9495,15722,9861,19833,6939,16255,5491,12692,4782,9239,3404,7862,2246,5641,184,3621,0,0,0,0,0,0
2024-02,경원선,1913,동두천중앙,15,2,2229,597,4035,1896,6483,3014,7463,7962,5288,3822,5539,4128,5443,4346,6263,4193,5190,4730,4828,5018,5516,4296,5340,5445,4836,5718,5784,6748,2447,5178,1793,4025,1284,3146,798,2684,411,1941,28,1081,0,0,0,0,0,0
2024-02,경원선,1914,보산,31,0,1251,342,1695,882,3294,2046,3077,2036,2714,1499,2547,1514,2573,1427,2693,1374,2638,1854,2595,1988,2885,2020,3478,2958,2992,3173,2826,3684,1594,3936,1062,2713,729,2153,432,1453,170,1415,18,599,0,0,0,0,0,0
2024-02,경원선,1915,동두천,52,0,1040,499,2686,1965,4486,4928,5563,3516,4962,3017,4547,2894,4498,3667,4279,4094,4625,4005,4524,3865,4756,2551,4666,3666,3681,5163,4132,4943,1951,3895,1255,2932,595,3003,468,1552,187,1945,4,817,0,0,0,0,0,0
2024-02,경원선,1916,소요산,55,2,334,244,278,511,1106,637,1626,1129,1441,1855,1847,3372,2290,4155,2921,4396,4656,4018,4794,3601,4694,2516,4111,2065,2492,1661,1484,1119,649,995,484,811,197,455,134,457,53,354,8,267,0,0,0,0,0,0
2024-02,경원선,1917,청산,0,0,29,0,40,114,277,72,230,184,167,59,175,80,190,141,181,179,190,244,234,186,168,137,214,186,268,384,127,180,70,138,48,110,14,87,18,66,15,64,0,38,0,0,0,0,0,0
2024-02,경원선,1918,전곡,0,0,284,14,620,179,1282,328,2197,1070,2039,1137,1957,1076,1735,1287,2053,1723,2135,1674,2043,1460,1936,1417,2091,1946,1538,2026,1213,2050,850,1928,684,983,349,908,251,761,176,602,11,437,0,0,0,0,0,0
2024-02,경원선,1919,연천,1,1,177,10,361,120,623,278,2331,1451,1613,1127,1285,1724,1341,2933,1952,3397,2786,3077,2875,2487,3101,1805,2899,1580,1864,1466,1257,1190,488,1154,315,694,165,389,100,322,42,214,0,160,0,0,0,0,0,0
2024-02,안산선,1751,산본,516,2,8103,1545,21008,5455,48096,12725,46402,25943,24840,20865,21642,19007,22202,19113,24277,24009,22998,24991,23082,24353,25780,26467,26738,31424,25223,37465,29812,58969,18905,49202,16069,29482,15546,22600,12102,19054,5109,11797,579,3937,0,0,0,0,0,0
2024-02,안산선,1752,대야미,2,1,2513,678,7027,2517,14784,4208,16069,6988,9967,3443,7935,3785,7500,4254,7569,4711,7541,4616,7128,5497,7480,6963,7327,7690,8108,9068,8797,14437,4679,10750,3541,7984,2176,6282,1448,6794,862,4173,123,1243,0,0,0,0,0,0
2024-02,안산선,1753,반월,15,0,3179,911,7318,2285,14662,3388,13223,4593,8470,3199,7408,3277,6560,3883,7006,4208,6781,4695,5786,5170,5362,6683,5612,8402,6074,8835,6626,13594,3243,10511,2531,8332,1756,6362,1248,6043,544,3610,145,991,0,0,0,0,0,0
2024-02,안산선,1754,상록수,368,22,11818,1941,26245,7359,56898,9542,53023,13721,30289,11363,24118,10778,21610,11955,22459,13898,19884,15761,17199,17202,17516,19984,18698,26305,19360,36679,18999,56522,12542,45352,9809,33032,7918,28740,6269,22750,2398,16410,392,4378,0,0,0,0,0,0
2024-02,안산선,1755,한대앞,86,2,6748,847,15893,3396,27414,7028,22468,12670,15992,11432,13195,8919,12688,8442,13384,9758,12324,10452,11785,10835,11978,12240,11974,16082,14997,20616,15257,29623,9006,22511,6994,15835,6373,13371,5175,11484,2111,7804,219,2137,0,0,0,0,0,0
2024-02,안산선,1756,중앙,226,27,9530,1087,26535,7981,49848,12920,41236,30430,23795,27698,22474,19886,25862,20777,28687,25732,26104,27744,24772,27962,26701,28690,30995,31931,33589,42431,36334,64978,24110,51145,22994,34283,23551,28000,20049,23070,9654,17694,852,5449,0,0,0,0,0,0
2024-02,안산선,1757,고잔,160,3,4262,950,14004,4482,25107,10805,19147,24829,13302,13866,12609,10463,13122,9667,12847,10833,11613,11626,12443,10947,13972,10930,15009,11397,19388,15354,20486,21753,8198,17585,6631,11434,5961,9953,4615,8534,2089,7361,146,2700,0,0,0,0,0,0
2024-02,안산선,1758,초지,280,4,3663,291,10479,3661,19677,7603,15124,9172,8814,4666,6940,3423,6849,3929,7872,4469,6257,4879,5605,5178,5679,6086,6399,6938,8328,10445,8742,14924,4606,14153,3624,9635,2880,8487,1861,7183,636,5842,69,2069,0,0,0,0,0,0
2024-02,안산선,1759,안산,1068,20,8295,1382,10704,14026,19219,33758,20442,28444,18579,14681,17574,13255,17384,16617,19454,17012,20094,16774,20495,17299,20696,17845,23516,19304,39384,24949,40636,24904,20685,21749,17197,16497,10001,14229,5003,10166,1545,6809,108,2454,1,0,0,0,0,0
2024-02,안산선,1760,신길온천,41,0,2269,101,3601,1629,6271,3138,5159,2465,3726,1238,3150,1322,3017,1645,3029,1845,2771,1735,2605,2218,2684,2741,2953,3115,4144,4454,3430,5587,1747,4658,1165,3352,779,2798,464,2439,198,1762,24,570,0,0,0,0,0,0
2024-02,안산선,1761,정왕,252,5,6884,863,9682,11491,17485,21208,16526,21097,13668,12666,12765,9133,12303,9771,13339,11322,12456,10667,12306,11073,13223,12013,14885,12395,21192,17386,26230,21148,11178,15910,9006,13058,6134,11353,3924,9291,1299,6640,86,2017,0,30,0,0,0,0
2024-02,안산선,1762,오이도,229,2,5353,347,12605,5748,25925,10771,20250,9388,12821,6681,11429,7024,11296,9119,12493,11211,11646,10692,10994,10914,11417,12361,13262,13497,15579,16573,15822,23749,8992,19971,7112,13318,5836,11598,4086,10417,1437,7430,15,3397,0,29,0,0,0,0
2024-02,안산선,1763,수리산,8,0,2992,511,7724,1689,15246,3471,15587,3800,8849,3061,6548,3552,6658,2763,5782,3237,5614,3242,4414,3819,4362,5049,4480,6022,4586,7181,4695,11125,2401,8618,1793,6299,1236,4864,796,4833,397,2686,55,862,1,0,0,0,0,0
2024-02,과천선,1450,선바위,3,0,798,1035,4988,7624,13408,18962,15862,24220,12016,14346,9348,6647,8978,6664,9711,6993,9587,6937,9701,6469,10710,7235,13622,8635,22534,10414,27815,13314,11791,10554,7885,7843,6079,6469,3095,6061,1056,3728,103,700,0,0,0,0,0,0
2024-02,과천선,1451,경마공원,1,0,241,445,906,2021,1913,3330,2122,9298,1930,23193,2210,28568,2502,15275,3200,14371,4337,12192,5736,7630,10260,4700,15296,3127,23861,2093,48957,2084,6741,1708,1737,1088,581,898,245,804,117,494,18,98,0,0,0,0,0,0
2024-02,과천선,1452,대공원,3,0,64,284,264,2636,664,3488,792,8687,1323,15664,1597,19153,3072,10610,6273,8881,6957,8499,8099,6840,10151,3666,13824,2337,15395,1416,11095,1151,7432,829,3872,448,1591,313,357,246,86,151,6,35,0,0,0,0,0,0
2024-02,과천선,1453,과천,1,0,2298,291,9028,2003,24367,4063,22036,7691,15003,5101,11467,4730,10998,4954,11141,5611,10686,6191,9511,7601,9535,9203,9672,11134,9143,13811,8298,20722,4492,17383,3137,11246,1887,11457,1431,10704,572,6443,70,1358,0,0,0,0,0,0
2024-02,과천선,1454,정부과천청사,9,3,1574,800,6941,10618,20094,24990,17390,73703,13342,18430,11001,10577,11867,9669,13024,10956,14200,11506,14419,11452,16045,11841,21999,13556,31499,16818,50950,22873,14852,18646,12235,10512,10847,10025,6139,8374,1996,5155,196,1131,0,0,0,0,0,0
2024-02,과천선,1455,인덕원,107,1,7510,3337,26209,14806,69251,36605,60492,91509,38822,36595,31766,19213,30049,18972,32510,20299,31063,23969,28594,24283,31483,28043,38760,33940,53615,48109,75376,74120,28786,62924,22604,35682,21183,33257,14849,31180,5998,19371,613,5437,0,0,0,0,0,0
2024-02,과천선,1456,평촌,55,0,3760,3061,18362,10509,53262,30813,41492,75765,23292,29424,18733,13797,18420,12660,19377,13463,17941,17629,18542,15622,21834,16768,26057,20395,41821,27211,55705,43400,21789,37944,16926,20933,15808,18298,11232,16373,4152,9245,403,2980,0,0,0,0,0,0
2024-02,과천선,1457,범계,76,5,7807,2927,31968,12262,81591,22048,66385,52815,37894,39849,31324,29374,31916,29534,36985,29834,35126,37873,35532,35649,39284,39770,44162,45231,48118,58150,57221,91995,35497,73648,37245,38157,28911,33841,25834,29639,11504,16628,993,5172,0,0,0,0,0,0
2024-02,분당선,1023,선릉,60,1,995,1509,2256,10024,4637,40977,6467,120374,5846,85356,6464,38129,8177,24141,10464,21273,11749,23022,14191,18756,18447,16055,25264,17060,44448,19895,69695,24116,32752,14480,20931,7466,18649,6109,14972,5317,4916,3198,276,670,4,12,0,0,0,0
2024-02,분당선,1024,한티,25,1,2174,1427,7246,8414,19197,23794,24408,48345,16829,44442,14572,26973,16061,21957,21087,25902,23493,33718,22614,23073,25622,22592,29610,25514,49494,36109,46370,35931,28339,24259,29574,14719,24827,14079,32289,11766,4523,6467,184,361,0,4,0,0,0,0
2024-02,분당선,1025,도곡,47,0,1509,1054,3739,5848,9430,11934,13206,22405,10768,18988,9470,8849,10219,8611,10855,8825,11098,9351,11621,9160,13619,9589,14681,10257,20587,12435,22131,14883,11442,12244,8092,8101,6228,7080,5207,6325,1154,3721,85,304,1,12,0,0,0,0
2024-02,분당선,1026,구룡,4,1,799,574,2326,4257,6156,4792,8439,9250,6454,4367,5543,3206,4724,2636,4881,3472,4784,3784,5947,4232,5392,4514,7852,4872,7592,6118,5613,8134,3267,6380,1880,4062,1537,3570,868,3626,248,2212,18,74,0,1,0,0,0,0
2024-02,분당선,1027,개포동,6,1,894,495,3380,2724,11022,4444,12640,8533,8767,7350,7016,6152,6523,5304,7312,6483,6809,6570,6834,6365,7041,7147,7482,8210,8711,9924,8896,12993,5518,10617,4527,6918,4538,6317,4035,6140,1570,3437,69,147,0,7,0,0,0,0
2024-02,분당선,1028,대모산입구,8,0,2253,597,6382,2351,20082,5206,22709,9318,13114,6584,9446,4377,8637,4983,8958,5749,8492,6470,7309,6357,7404,8358,8607,9226,10040,12305,9813,17353,5180,14909,3180,9317,2601,9186,1832,9390,609,5235,17,294,0,12,0,0,0,0
2024-02,분당선,1030,수서,48,0,3228,3795,6138,12996,22970,24244,34956,42557,24206,26695,27582,18779,18453,17133,26061,20640,21632,18059,16081,18683,23760,21367,26599,24590,34586,30650,39470,41250,18232,29767,18861,20340,13136,16878,13635,14999,8208,6009,65,894,41,17,0,0,0,0
2024-02,분당선,1031,복정,0,0,0,0,2,0,3,0,3,0,9,0,5,0,12,0,12,0,7,0,10,0,1,0,10,0,7,0,11,0,14,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2024-02,분당선,1846,수원,554,3,4835,687,8003,3699,19992,6826,20526,11885,10413,11710,7625,9218,8521,10834,9490,11833,10113,12700,10499,12162,12693,11307,14434,14220,16345,19281,19567,24612,14504,17583,14686,10109,12786,8036,11105,5212,4770,3607,160,690,7,0,0,5,0,0
2024-02,분당선,1847,서울숲,120,0,2318,570,4214,4859,11123,20582,20524,41957,13748,32418,8586,22085,9890,18519,11942,19637,14109,21779,16211,20614,21257,20360,26735,19970,39620,21013,49661,26551,29187,16530,18894,8693,16243,7193,9820,6905,2696,3427,90,853,0,4,0,0,0,0
2024-02,분당선,1848,압구정로데오,157,2,2561,865,3545,10076,4933,22672,7538,67279,7439,96181,9094,52698,13991,38384,18463,33873,21782,35474,28106,32850,36038,31848,43978,32951,63273,38287,84487,43386,63124,24739,51762,11554,38014,8326,27688,6823,10602,4376,560,947,4,10,0,0,0,0
2024-02,분당선,1849,강남구청,4,0,1107,772,2359,5372,6152,15070,9624,49876,8045,39602,7848,19241,8874,13760,10605,13687,11851,14974,13253,13619,14879,13002,18201,13386,27947,15112,45113,19563,22677,11941,13319,6728,12244,5688,8362,5298,2953,3146,98,675,0,10,0,0,0,0
2024-02,분당선,1850,선정릉,9,0,826,772,2041,4516,4163,12366,6527,43835,5759,37633,5439,15606,7036,8842,8584,7896,8843,8806,10775,7893,11411,6970,13022,7054,24389,8105,38691,9769,20093,6074,10004,3724,8244,3523,5749,3493,1859,2018,89,454,0,7,0,0,0,0
2024-02,분당선,1851,가천대,27,0,3913,766,6039,2933,15871,5414,22099,14373,14399,10657,8895,8405,8665,7768,10044,8120,9451,9861,8965,8442,10003,9628,13011,10862,14375,13475,12255,19441,7264,17171,5373,12385,5245,12506,3567,12105,1883,8479,93,762,1,11,0,0,0,0
2024-02,분당선,1852,태평,231,17,13063,1415,16829,4452,37067,7124,53701,15211,37505,11077,22695,10809,19114,13019,19405,14207,19345,15575,17672,17555,17104,23630,17724,25977,19087,30983,17118,40319,10146,31415,7761,23413,6049,24177,4499,19366,1807,10590,64,1094,1,23,0,0,0,0
2024-02,분당선,1853,모란,307,17,13002,2652,19304,9995,45817,19488,58784,31949,43239,24385,29819,24917,29545,31561,33400,32470,34001,34079,32791,33331,34620,38619,36361,40735,37867,43135,37203,57924,21406,44472,15888,32542,14003,28328,11587,22859,6071,14620,318,1519,9,22,0,0,0,0
2024-02,분당선,1854,야탑,100,3,6977,3215,17275,13416,45932,35993,55131,85188,38793,50495,31477,34781,33851,31813,35648,35480,36003,38874,37622,34846,42038,39222,45426,41294,60822,51244,77489,67495,36782,51645,28545,32496,26295,26108,18411,25493,7086,14888,347,2234,10,28,0,0,0,0
2024-02,분당선,1855,서현,258,12,4343,2764,11154,10871,29712,29052,35134,79920,27179,67205,24430,37807,27649,33576,31137,34855,35246,37417,35830,39061,42682,36429,45862,39832,61528,46261,82138,58065,47709,44355,43510,25760,36498,20757,28135,17788,11967,10002,624,1564,20,17,0,0,0,0
2024-02,분당선,1856,수내,181,2,2606,1698,6587,7648,16357,22307,20246,57899,15001,41929,12783,22437,14650,16841,16559,17352,18298,17836,20666,17508,22699,16908,24646,18153,38304,22061,51622,25408,28694,20775,24643,12635,17956,10981,12646,10273,3820,5578,227,1017,0,5,0,0,0,0
2024-02,분당선,1857,정자,249,4,2814,1147,8920,13348,24230,39489,28647,70072,21817,43669,17266,22296,18485,18284,19800,18212,20622,20145,21520,18367,25648,20310,28372,24123,51675,34159,61520,44120,33194,34657,26733,21359,27606,18452,23922,17364,9440,10388,915,2929,11,14,0,0,0,0
2024-02,분당선,1858,미금,470,4,3341,673,10551,10343,23026,17930,26669,38585,21576,30925,21248,20679,23582,21166,24923,22349,24992,24598,25995,24016,30688,23873,29039,26079,32546,29294,35500,37609,20154,28682,16465,20000,15881,17293,12058,15107,4079,9148,241,2368,9,19,0,0,0,0
2024-02,분당선,1859,오리,805,7,3552,483,13254,7352,25868,13696,28087,33244,19288,17556,16096,10713,15862,10823,16033,12429,16377,12206,16029,12192,17417,13722,19146,15120,26843,16782,32573,22728,13566,19403,10656,13536,8801,11158,5796,10513,2121,6552,104,1773,9,19,0,0,0,0
2024-02,분당선,1860,이매,51,1,2250,903,5358,3069,12323,7094,14645,13036,10173,7503,8812,6238,9005,6162,9408,6611,8314,7293,8116,6907,8345,8314,9334,9206,10201,10962,12613,13839,5715,11464,4507,7639,5018,7029,2825,7544,861,4447,41,891,3,10,0,0,0,0
2024-02,분당선,1861,보정,68,0,1053,154,3371,1348,8180,2464,9171,4030,6538,2201,4773,1472,4634,1908,4017,2212,3730,2372,3343,2866,3790,3859,3397,4464,3762,5606,3810,6439,1730,6030,1347,4048,1207,3638,1021,3859,408,2499,8,159,0,1,0,0,0,0
2024-02,분당선,1862,죽전,1473,6,4692,846,13902,6367,36925,13410,32767,20511,20123,20684,16044,17221,16275,16459,16385,16426,17163,18296,17101,19033,19476,21241,21040,24540,25444,29735,26838,42753,18054,37037,21276,23096,11013,19280,7223,18224,2466,12739,18,6803,2,28,0,0,0,0
2024-02,분당선,1863,구성,123,1,2290,381,6750,2808,17903,4039,19766,6261,12031,3588,8864,3158,8061,3936,7449,4568,6661,4964,6441,5708,5956,7318,6957,8640,7217,12992,5700,18943,3264,16256,2498,10929,1978,8475,1392,9036,501,5515,1,351,1,8,0,0,0,0
