사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-02,2호선,0223,교대(법원.검찰청),18,0,2181,6053,9647,21248,20512,47603,32496,138377,25377,122122,23526,60670,28343,54799,31161,49529,38813,51088,46319,45567,49493,42230,53110,44006,86630,57001,119519,65802,58066,39396,47116,23673,47068,21651,36784,19791,14555,10989,3063,3152,16,69,0,0,0,0
2024-02,2호선,0224,서초,3,0,1781,3989,8090,19015,16086,45480,25501,101044,25081,85462,19426,40002,26786,32240,23968,23539,31411,26717,33475,23864,40269,20358,42659,20936,66842,23189,85379,24370,40501,17142,28693,10987,26553,10158,16501,9435,5321,5653,867,1303,3,45,0,1,0,0
2024-02,2호선,0225,방배,4,1,2025,2570,7390,9807,18293,21682,26526,57821,21506,38718,16545,22124,17567,18421,19970,18888,21701,20472,22080,19395,24907,19458,27549,20935,36886,26300,51702,31443,23230,22422,17763,14907,17067,13732,13034,13928,5109,8054,1082,2372,6,45,0,0,0,0
2024-02,2호선,0226,사당,80,9,10914,3766,24748,28586,68402,37678,86488,58640,68237,44525,47211,40102,42619,50001,48736,51082,49990,48805,55074,49589,57987,59525,59684,76740,71984,112910,88617,157735,61691,109104,57891,66322,64545,60299,61521,55592,34382,34643,5747,10661,44,602,0,10,0,0
2024-02,2호선,0227,낙성대(강감찬),24,2,10457,2077,22993,8111,73424,14079,110890,34056,74090,30531,40736,23115,35289,22421,38615,24640,37700,27509,33448,29027,32950,35716,36160,40024,39797,55102,45919,89669,26263,78183,21160,51295,18959,46597,14966,46608,7884,28606,1330,8487,8,256,0,0,0,0
2024-02,2호선,0228,서울대입구(관악구청),4542,21,24825,2117,37254,11805,112846,21641,149712,56612,106868,53370,62656,45204,55484,42068,60569,46986,64815,51390,57107,54041,58838,62923,63415,73041,71977,96236,81306,153784,49445,127053,43055,79430,42885,74061,38964,70590,20846,43476,3641,15697,8,3001,0,0,0,0
2024-02,2호선,0229,봉천,62,0,13517,1615,24669,6335,73949,10715,105554,23825,67426,19299,39803,17899,31424,20778,33437,22454,33232,24832,30469,27460,28136,35574,28737,39778,30308,51753,30493,78572,19071,67672,15850,42344,13366,39938,10437,36263,4655,22084,878,7523,9,305,0,0,0,0
2024-02,2호선,0230,신림,144,3,32483,3630,59160,14683,161978,21598,234065,38270,143316,38200,82060,37760,68673,42248,74005,47369,70875,54295,65582,60363,64232,75338,67998,90336,71810,119599,75311,194561,50483,171799,42966,112165,39862,108198,34867,96548,20446,63237,4312,20076,58,571,0,0,0,0
2024-02,2호선,0231,신대방,187,4,20434,1633,29451,7926,77596,12821,115939,22182,73915,17158,41845,16298,34922,18584,35122,20609,33363,24874,29611,27676,28954,37380,29806,42282,31195,55179,30862,83219,19200,73067,15651,50847,12338,54176,9477,48874,4664,28523,906,8440,9,271,1,0,0,0
2024-02,2호선,0232,구로디지털단지,177,8,31299,4344,45715,17490,124150,72055,162905,203140,102066,130979,63863,51242,59294,42257,65098,45830,65628,56277,60944,55499,65482,62800,76208,74951,122716,99446,185658,145509,92984,121631,58743,80595,48772,77227,38108,72339,17552,43303,3251,13246,27,497,0,4,0,0
2024-02,2호선,0233,대림(구로구청),418,11,28946,2665,25033,8839,57131,18719,82225,47996,55748,33477,36882,31110,34480,34587,35004,33269,34647,32865,33116,33509,33939,39695,35860,46584,41203,54829,47621,60987,25196,48281,18287,36439,13808,43393,10937,39993,5392,20377,697,5384,6,237,0,4,0,0
2024-02,2호선,0234,신도림,3159,13,30476,4077,46801,16737,121651,39229,129602,100543,82029,64322,56716,58552,56445,59847,64572,61201,67966,66446,70449,63464,75225,71179,80669,82645,96681,104816,116050,157516,68005,114730,57691,69794,59281,64281,42251,59268,20954,44093,2384,19725,22,2267,0,17,0,0
